TokenList:

 TK  Ln Type                      Lexeme         
 57  23:Token: 52: RIGHT_BRACK     ]              
 58  23:Token: 40: ASSIGN          :=             
 59  23:Token: 35: ID              index          
 60  23:Token: 54: SEMI_COLON      ;              
 61  24:Token: 35: ID              index          
 62  24:Token: 40: ASSIGN          :=             
 63  24:Token: 35: ID              index          
 64  24:Token: 51: PLUS            +              
 65  24:Token: 38: INT_NUM         1              
 66  24:Token: 54: SEMI_COLON      ;              
 67  25:Token: 9 : END             END            
 68  25:Token: 54: SEMI_COLON      ;              
 69  26:Token: 9 : END             END            
 70  26:Token: 35: ID              Fill           
 71  26:Token: 54: SEMI_COLON      ;              
 72  31:Token: 20: PROCEDURE       PROCEDURE      
 73  31:Token: 35: ID              Print          
 74  31:Token: 47: LEFT_PAREN      (              
 75  31:Token: 24: VAR             VAR            
 76  31:Token: 35: ID              list           
 77  31:Token: 41: COLON           :              
 78  31:Token: 35: ID              ListType       
 79  31:Token: 53: RIGHT_PAREN     )              
 80  31:Token: 54: SEMI_COLON      ;              
 81  32:Token: 24: VAR             VAR            
 82  33:Token: 35: ID              index          
 83  33:Token: 41: COLON           :              
 84  33:Token: 13: INTEGER         INTEGER        
 85  33:Token: 54: SEMI_COLON      ;              
 86  35:Token: 3 : BEGIN           BEGIN          
 87  36:Token: 35: ID              index          
 88  36:Token: 40: ASSIGN          :=             
 89  36:Token: 38: INT_NUM         1              
 90  36:Token: 54: SEMI_COLON      ;              
 91  37:Token: 14: LOOP            LOOP           
 92  38:Token: 12: IF              IF             
 93  38:Token: 35: ID              index          
 94  38:Token: 56: GRTR_THAN       >              
 95  38:Token: 38: INT_NUM         10             
 96  38:Token: 22: THEN            THEN           
 97  38:Token: 10: EXIT            EXIT           
 98  38:Token: 54: SEMI_COLON      ;              
 99  38:Token: 9 : END             END            
100  38:Token: 54: SEMI_COLON      ;              
101  39:Token: 27: WRINT           WRINT          
102  39:Token: 47: LEFT_PAREN      (              
103  39:Token: 35: ID              list           
104  39:Token: 46: LEFT_BRACK      [              
105  39:Token: 35: ID              index          
106  39:Token: 52: RIGHT_BRACK     ]              
107  39:Token: 53: RIGHT_PAREN     )              
108  39:Token: 54: SEMI_COLON      ;              
109  40:Token: 28: WRLN            WRLN           
110  40:Token: 54: SEMI_COLON      ;              
111  41:Token: 35: ID              index          
112  41:Token: 40: ASSIGN          :=             
113  41:Token: 35: ID              index          
114  41:Token: 51: PLUS            +              
115  41:Token: 38: INT_NUM         1              
116  41:Token: 54: SEMI_COLON      ;              
117  42:Token: 9 : END             END            
118  42:Token: 54: SEMI_COLON      ;              
119  43:Token: 9 : END             END            
120  43:Token: 35: ID              Print          
121  43:Token: 54: SEMI_COLON      ;              
122  48:Token: 3 : BEGIN           BEGIN          
123  49:Token: 35: ID              Fill           
124  49:Token: 47: LEFT_PAREN      (              
125  49:Token: 35: ID              thisList       
126  49:Token: 53: RIGHT_PAREN     )              
127  49:Token: 54: SEMI_COLON      ;              
128  50:Token: 35: ID              Print          
129  50:Token: 47: LEFT_PAREN      (              
130  50:Token: 35: ID              thisList       
131  50:Token: 53: RIGHT_PAREN     )              
132  50:Token: 54: SEMI_COLON      ;              
133  51:Token: 9 : END             END            
134  51:Token: 35: ID              Bubble         
135  51:Token: 43: DOT             .              
136  52:Token: 62: EOF             End Of File    
