Token list:

 TK  Ln Type                      Lexeme
 46  21:Token: 47: LEFT_PAREN      (                                                                                                   
 47  21:Token: 39: STRING          Part 1:                                                                                             
 48  21:Token: 53: RIGHT_PAREN     )                                                                                                   
 49  21:Token: 54: SEMI_COLON      ;                                                                                                   
 50  22:Token: 28: WRLN            WRLN                                                                                                
 51  22:Token: 54: SEMI_COLON      ;                                                                                                   
 52  23:Token: 34: WRSTR           WRSTR                                                                                               
 53  23:Token: 47: LEFT_PAREN      (                                                                                                   
 54  23:Token: 39: STRING          _______                                                                                             
 55  23:Token: 53: RIGHT_PAREN     )                                                                                                   
 56  23:Token: 54: SEMI_COLON      ;                                                                                                   
 57  24:Token: 28: WRLN            WRLN                                                                                                
 58  24:Token: 54: SEMI_COLON      ;                                                                                                   
 59  26:Token: 34: WRSTR           WRSTR                                                                                               
 60  26:Token: 47: LEFT_PAREN      (                                                                                                   
 61  26:Token: 39: STRING          42+8-31+ugly:        should be 20:                                                                  
 62  26:Token: 53: RIGHT_PAREN     )                                                                                                   
 63  26:Token: 54: SEMI_COLON      ;                                                                                                   
 64  27:Token: 27: WRINT           WRINT                                                                                               
 65  27:Token: 47: LEFT_PAREN      (                                                                                                   
 66  27:Token: 38: INT_NUM         42                                                                                                  
 67  27:Token: 51: PLUS            +                                                                                                   
 68  27:Token: 38: INT_NUM         8                                                                                                   
 69  27:Token: 48: MINUS           -                                                                                                   
 70  27:Token: 38: INT_NUM         31                                                                                                  
 71  27:Token: 51: PLUS            +                                                                                                   
 72  27:Token: 35: ID              ugly                                                                                                
 73  27:Token: 53: RIGHT_PAREN     )                                                                                                   
 74  27:Token: 54: SEMI_COLON      ;                                                                                                   
 75  27:Token: 28: WRLN            WRLN                                                                                                
 76  27:Token: 54: SEMI_COLON      ;                                                                                                   
 77  29:Token: 34: WRSTR           WRSTR                                                                                               
 78  29:Token: 47: LEFT_PAREN      (                                                                                                   
 79  29:Token: 39: STRING          good * little:       should be 15:                                                                  
 80  29:Token: 53: RIGHT_PAREN     )                                                                                                   
 81  29:Token: 54: SEMI_COLON      ;                                                                                                   
 82  30:Token: 27: WRINT           WRINT                                                                                               
 83  30:Token: 47: LEFT_PAREN      (                                                                                                   
 84  30:Token: 35: ID              good                                                                                                
 85  30:Token: 49: MULT            *                                                                                                   
 86  30:Token: 35: ID              little                                                                                              
 87  30:Token: 53: RIGHT_PAREN     )                                                                                                   
 88  30:Token: 54: SEMI_COLON      ;                                                                                                   
 89  30:Token: 28: WRLN            WRLN                                                                                                
 90  30:Token: 54: SEMI_COLON      ;                                                                                                   
 91  32:Token: 34: WRSTR           WRSTR                                                                                               
 92  32:Token: 47: LEFT_PAREN      (                                                                                                   
 93  32:Token: 39: STRING          42000 DIV 4200:      should be 10:                                                                  
 94  32:Token: 53: RIGHT_PAREN     )                                                                                                   
 95  32:Token: 54: SEMI_COLON      ;                                                                                                   
 96  33:Token: 27: WRINT           WRINT                                                                                               
 97  33:Token: 47: LEFT_PAREN      (                                                                                                   
 98  33:Token: 38: INT_NUM         42000                                                                                               
 99  33:Token: 6 : DIV             DIV                                                                                                 
100  33:Token: 38: INT_NUM         4200                                                                                                
101  33:Token: 53: RIGHT_PAREN     )                                                                                                   
102  33:Token: 54: SEMI_COLON      ;                                                                                                   
103  33:Token: 28: WRLN            WRLN                                                                                                
104  33:Token: 54: SEMI_COLON      ;                                                                                                   
105  35:Token: 34: WRSTR           WRSTR                                                                                               
106  35:Token: 47: LEFT_PAREN      (                                                                                                   
107  35:Token: 39: STRING          42042 MOD 100:       should be 42:                                                                  
108  35:Token: 53: RIGHT_PAREN     )                                                                                                   
109  35:Token: 54: SEMI_COLON      ;                                                                                                   
110  36:Token: 27: WRINT           WRINT                                                                                               
111  36:Token: 47: LEFT_PAREN      (                                                                                                   
112  36:Token: 38: INT_NUM         42042                                                                                               
113  36:Token: 15: MOD             MOD                                                                                                 
114  36:Token: 38: INT_NUM         100                                                                                                 
115  36:Token: 53: RIGHT_PAREN     )                                                                                                   
116  36:Token: 54: SEMI_COLON      ;                                                                                                   
117  36:Token: 28: WRLN            WRLN                                                                                                
118  36:Token: 54: SEMI_COLON      ;                                                                                                   
119  38:Token: 34: WRSTR           WRSTR                                                                                               
120  38:Token: 47: LEFT_PAREN      (                                                                                                   
121  38:Token: 39: STRING          20000 * 21000:       should be 420,000,000:                                                         
122  38:Token: 53: RIGHT_PAREN     )                                                                                                   
123  38:Token: 54: SEMI_COLON      ;                                                                                                   
124  39:Token: 27: WRINT           WRINT                                                                                               
125  39:Token: 47: LEFT_PAREN      (                                                                                                   
126  39:Token: 38: INT_NUM         20000                                                                                               
127  39:Token: 49: MULT            *                                                                                                   
128  39:Token: 38: INT_NUM         21000                                                                                               
129  39:Token: 53: RIGHT_PAREN     )                                                                                                   
130  39:Token: 54: SEMI_COLON      ;                                                                                                   
131  39:Token: 28: WRLN            WRLN                                                                                                
132  39:Token: 54: SEMI_COLON      ;                                                                                                   
133  41:Token: 34: WRSTR           WRSTR                                                                                               
134  41:Token: 47: LEFT_PAREN      (                                                                                                   
135  41:Token: 39: STRING          6*7+2*little-1:      should be 47:                                                                  
136  41:Token: 53: RIGHT_PAREN     )                                                                                                   
137  41:Token: 54: SEMI_COLON      ;                                                                                                   
138  42:Token: 27: WRINT           WRINT                                                                                               
139  42:Token: 47: LEFT_PAREN      (                                                                                                   
140  42:Token: 38: INT_NUM         6                                                                                                   
141  42:Token: 49: MULT            *                                                                                                   
142  42:Token: 38: INT_NUM         7                                                                                                   
143  42:Token: 51: PLUS            +                                                                                                   
144  42:Token: 38: INT_NUM         2                                                                                                   
145  42:Token: 49: MULT            *                                                                                                   
146  42:Token: 35: ID              little                                                                                              
147  42:Token: 48: MINUS           -                                                                                                   
148  42:Token: 38: INT_NUM         1                                                                                                   
149  42:Token: 53: RIGHT_PAREN     )                                                                                                   
150  42:Token: 54: SEMI_COLON      ;                                                                                                   
151  42:Token: 28: WRLN            WRLN                                                                                                
152  42:Token: 54: SEMI_COLON      ;                                                                                                   
153  44:Token: 34: WRSTR           WRSTR                                                                                               
154  44:Token: 47: LEFT_PAREN      (                                                                                                   
155  44:Token: 39: STRING          6*2+((1+2)*3-1)*2:   should be 28:                                                                  
156  44:Token: 53: RIGHT_PAREN     )                                                                                                   
157  44:Token: 54: SEMI_COLON      ;                                                                                                   
158  45:Token: 27: WRINT           WRINT                                                                                               
159  45:Token: 47: LEFT_PAREN      (                                                                                                   
160  45:Token: 38: INT_NUM         6                                                                                                   
161  45:Token: 49: MULT            *                                                                                                   
162  45:Token: 38: INT_NUM         2                                                                                                   
163  45:Token: 51: PLUS            +                                                                                                   
164  45:Token: 47: LEFT_PAREN      (                                                                                                   
165  45:Token: 47: LEFT_PAREN      (                                                                                                   
166  45:Token: 38: INT_NUM         1                                                                                                   
167  45:Token: 51: PLUS            +                                                                                                   
168  45:Token: 38: INT_NUM         2                                                                                                   
169  45:Token: 53: RIGHT_PAREN     )                                                                                                   
170  45:Token: 49: MULT            *                                                                                                   
171  45:Token: 38: INT_NUM         3                                                                                                   
172  45:Token: 48: MINUS           -                                                                                                   
173  45:Token: 38: INT_NUM         1                                                                                                   
174  45:Token: 53: RIGHT_PAREN     )                                                                                                   
175  45:Token: 49: MULT            *                                                                                                   
176  45:Token: 38: INT_NUM         2                                                                                                   
177  45:Token: 53: RIGHT_PAREN     )                                                                                                   
178  45:Token: 54: SEMI_COLON      ;                                                                                                   
179  45:Token: 28: WRLN            WRLN                                                                                                
180  45:Token: 54: SEMI_COLON      ;                                                                                                   
181  47:Token: 28: WRLN            WRLN                                                                                                
182  47:Token: 54: SEMI_COLON      ;                                                                                                   
183  49:Token: 34: WRSTR           WRSTR                                                                                               
184  49:Token: 47: LEFT_PAREN      (                                                                                                   
185  49:Token: 39: STRING          Enter 1 and press <return> to continue):                                                            
186  49:Token: 53: RIGHT_PAREN     )                                                                                                   
187  49:Token: 54: SEMI_COLON      ;                                                                                                   
188  50:Token: 35: ID              ugly                                                                                                
189  50:Token: 40: ASSIGN          :=                                                                                                  
190  50:Token: 32: RDINT           RDINT                                                                                               
191  50:Token: 47: LEFT_PAREN      (                                                                                                   
192  50:Token: 53: RIGHT_PAREN     )                                                                                                   
193  50:Token: 54: SEMI_COLON      ;                                                                                                   
194  52:Token: 14: LOOP            LOOP                                                                                                
195  53:Token: 12: IF              IF                                                                                                  
196  53:Token: 35: ID              ugly                                                                                                
197  53:Token: 45: EQUAL           =                                                                                                   
198  53:Token: 38: INT_NUM         1                                                                                                   
199  53:Token: 22: THEN            THEN                                                                                                
200  53:Token: 10: EXIT            EXIT                                                                                                
201  53:Token: 54: SEMI_COLON      ;                                                                                                   
202  53:Token: 9 : END             END                                                                                                 
203  53:Token: 54: SEMI_COLON      ;                                                                                                   
204  54:Token: 34: WRSTR           WRSTR                                                                                               
205  54:Token: 47: LEFT_PAREN      (                                                                                                   
206  54:Token: 39: STRING          Invalid input...Enter 1 and press <return> to continue:                                             
207  54:Token: 53: RIGHT_PAREN     )                                                                                                   
208  54:Token: 54: SEMI_COLON      ;                                                                                                   
209  55:Token: 35: ID              ugly                                                                                                
210  55:Token: 40: ASSIGN          :=                                                                                                  
211  55:Token: 32: RDINT           RDINT                                                                                               
212  55:Token: 47: LEFT_PAREN      (                                                                                                   
213  55:Token: 53: RIGHT_PAREN     )                                                                                                   
214  55:Token: 54: SEMI_COLON      ;                                                                                                   
215  56:Token: 9 : END             END                                                                                                 
216  56:Token: 54: SEMI_COLON      ;                                                                                                   
217  57:Token: 29: CLS             CLS                                                                                                 
218  57:Token: 54: SEMI_COLON      ;                                                                                                   
219  63:Token: 34: WRSTR           WRSTR                                                                                               
220  63:Token: 47: LEFT_PAREN      (                                                                                                   
221  63:Token: 39: STRING          Part 2:                                                                                             
222  63:Token: 53: RIGHT_PAREN     )                                                                                                   
223  63:Token: 54: SEMI_COLON      ;                                                                                                   
224  64:Token: 28: WRLN            WRLN                                                                                                
225  64:Token: 54: SEMI_COLON      ;                                                                                                   
226  65:Token: 34: WRSTR           WRSTR                                                                                               
227  65:Token: 47: LEFT_PAREN      (                                                                                                   
228  65:Token: 39: STRING          _______                                                                                             
229  65:Token: 53: RIGHT_PAREN     )                                                                                                   
230  65:Token: 54: SEMI_COLON      ;                                                                                                   
231  66:Token: 28: WRLN            WRLN                                                                                                
232  66:Token: 54: SEMI_COLON      ;                                                                                                   
233  68:Token: 34: WRSTR           WRSTR                                                                                               
234  68:Token: 47: LEFT_PAREN      (                                                                                                   
235  68:Token: 39: STRING          IF test(5):          should be  4:                                                                  
236  68:Token: 53: RIGHT_PAREN     )                                                                                                   
237  68:Token: 54: SEMI_COLON      ;                                                                                                   
238  69:Token: 35: ID              k                                                                                                   
239  69:Token: 40: ASSIGN          :=                                                                                                  
240  69:Token: 38: INT_NUM         4                                                                                                   
241  69:Token: 54: SEMI_COLON      ;                                                                                                   
242  70:Token: 35: ID              m                                                                                                   
243  70:Token: 40: ASSIGN          :=                                                                                                  
244  70:Token: 38: INT_NUM         3                                                                                                   
245  70:Token: 54: SEMI_COLON      ;                                                                                                   
246  71:Token: 12: IF              IF                                                                                                  
247  71:Token: 35: ID              k                                                                                                   
248  71:Token: 56: GRTR_THAN       >                                                                                                   
249  71:Token: 35: ID              m                                                                                                   
250  71:Token: 22: THEN            THEN                                                                                                
251  72:Token: 27: WRINT           WRINT                                                                                               
252  72:Token: 47: LEFT_PAREN      (                                                                                                   
253  72:Token: 35: ID              k                                                                                                   
254  72:Token: 53: RIGHT_PAREN     )                                                                                                   
255  72:Token: 54: SEMI_COLON      ;                                                                                                   
256  73:Token: 28: WRLN            WRLN                                                                                                
257  73:Token: 54: SEMI_COLON      ;                                                                                                   
258  74:Token: 8 : ELSE            ELSE                                                                                                
259  75:Token: 27: WRINT           WRINT                                                                                               
260  75:Token: 47: LEFT_PAREN      (                                                                                                   
261  75:Token: 35: ID              m                                                                                                   
262  75:Token: 53: RIGHT_PAREN     )                                                                                                   
263  75:Token: 54: SEMI_COLON      ;                                                                                                   
264  76:Token: 28: WRLN            WRLN                                                                                                
265  76:Token: 54: SEMI_COLON      ;                                                                                                   
266  77:Token: 9 : END             END                                                                                                 
267  77:Token: 54: SEMI_COLON      ;                                                                                                   
268  79:Token: 34: WRSTR           WRSTR                                                                                               
269  79:Token: 47: LEFT_PAREN      (                                                                                                   
270  79:Token: 39: STRING          IF test(5.01):       should be 17:                                                                  
271  79:Token: 53: RIGHT_PAREN     )                                                                                                   
272  79:Token: 54: SEMI_COLON      ;                                                                                                   
273  80:Token: 35: ID              k                                                                                                   
274  80:Token: 40: ASSIGN          :=                                                                                                  
275  80:Token: 38: INT_NUM         4                                                                                                   
276  80:Token: 54: SEMI_COLON      ;                                                                                                   
277  81:Token: 35: ID              m                                                                                                   
278  81:Token: 40: ASSIGN          :=                                                                                                  
279  81:Token: 38: INT_NUM         17                                                                                                  
280  81:Token: 54: SEMI_COLON      ;                                                                                                   
281  82:Token: 12: IF              IF                                                                                                  
282  82:Token: 35: ID              k                                                                                                   
283  82:Token: 56: GRTR_THAN       >                                                                                                   
284  82:Token: 35: ID              m                                                                                                   
285  82:Token: 22: THEN            THEN                                                                                                
286  83:Token: 27: WRINT           WRINT                                                                                               
287  83:Token: 47: LEFT_PAREN      (                                                                                                   
288  83:Token: 35: ID              k                                                                                                   
289  83:Token: 53: RIGHT_PAREN     )                                                                                                   
290  83:Token: 54: SEMI_COLON      ;                                                                                                   
291  84:Token: 28: WRLN            WRLN                                                                                                
292  84:Token: 54: SEMI_COLON      ;                                                                                                   
293  85:Token: 8 : ELSE            ELSE                                                                                                
294  86:Token: 27: WRINT           WRINT                                                                                               
295  86:Token: 47: LEFT_PAREN      (                                                                                                   
296  86:Token: 35: ID              m                                                                                                   
297  86:Token: 53: RIGHT_PAREN     )                                                                                                   
298  86:Token: 54: SEMI_COLON      ;                                                                                                   
299  87:Token: 28: WRLN            WRLN                                                                                                
300  87:Token: 54: SEMI_COLON      ;                                                                                                   
301  88:Token: 9 : END             END                                                                                                 
302  88:Token: 54: SEMI_COLON      ;                                                                                                   
303  90:Token: 34: WRSTR           WRSTR                                                                                               
304  90:Token: 47: LEFT_PAREN      (                                                                                                   
305  90:Token: 39: STRING          IF test(5.02):       should be 71:                                                                  
306  90:Token: 53: RIGHT_PAREN     )                                                                                                   
307  90:Token: 54: SEMI_COLON      ;                                                                                                   
308  91:Token: 35: ID              k                                                                                                   
309  91:Token: 40: ASSIGN          :=                                                                                                  
310  91:Token: 38: INT_NUM         4                                                                                                   
311  91:Token: 54: SEMI_COLON      ;                                                                                                   
312  92:Token: 35: ID              m                                                                                                   
313  92:Token: 40: ASSIGN          :=                                                                                                  
314  92:Token: 38: INT_NUM         71                                                                                                  
315  92:Token: 54: SEMI_COLON      ;                                                                                                   
316  93:Token: 12: IF              IF                                                                                                  
317  93:Token: 35: ID              k                                                                                                   
318  93:Token: 56: GRTR_THAN       >                                                                                                   
319  93:Token: 35: ID              m                                                                                                   
320  93:Token: 22: THEN            THEN                                                                                                
321  94:Token: 27: WRINT           WRINT                                                                                               
322  94:Token: 47: LEFT_PAREN      (                                                                                                   
323  94:Token: 35: ID              k                                                                                                   
324  94:Token: 53: RIGHT_PAREN     )                                                                                                   
325  94:Token: 54: SEMI_COLON      ;                                                                                                   
326  95:Token: 28: WRLN            WRLN                                                                                                
327  95:Token: 54: SEMI_COLON      ;                                                                                                   
328  96:Token: 8 : ELSE            ELSE                                                                                                
329  97:Token: 12: IF              IF                                                                                                  
330  97:Token: 47: LEFT_PAREN      (                                                                                                   
331  97:Token: 35: ID              m                                                                                                   
332  97:Token: 59: LESS_THAN_EQ    <=                                                                                                  
333  97:Token: 38: INT_NUM         71                                                                                                  
334  97:Token: 53: RIGHT_PAREN     )                                                                                                   
335  97:Token: 22: THEN            THEN                                                                                                
336  98:Token: 27: WRINT           WRINT                                                                                               
337  98:Token: 47: LEFT_PAREN      (                                                                                                   
338  98:Token: 35: ID              m                                                                                                   
339  98:Token: 53: RIGHT_PAREN     )                                                                                                   
340  98:Token: 54: SEMI_COLON      ;                                                                                                   
341  99:Token: 28: WRLN            WRLN                                                                                                
342  99:Token: 54: SEMI_COLON      ;                                                                                                   
343 100:Token: 8 : ELSE            ELSE                                                                                                
344 101:Token: 27: WRINT           WRINT                                                                                               
345 101:Token: 47: LEFT_PAREN      (                                                                                                   
346 101:Token: 35: ID              m                                                                                                   
347 101:Token: 49: MULT            *                                                                                                   
348 101:Token: 38: INT_NUM         10000                                                                                               
349 101:Token: 53: RIGHT_PAREN     )                                                                                                   
350 101:Token: 54: SEMI_COLON      ;                                                                                                   
351 102:Token: 28: WRLN            WRLN                                                                                                
352 102:Token: 54: SEMI_COLON      ;                                                                                                   
353 103:Token: 9 : END             END                                                                                                 
354 103:Token: 54: SEMI_COLON      ;                                                                                                   
355 104:Token: 9 : END             END                                                                                                 
356 104:Token: 54: SEMI_COLON      ;                                                                                                   
357 106:Token: 34: WRSTR           WRSTR                                                                                               
358 106:Token: 47: LEFT_PAREN      (                                                                                                   
359 106:Token: 39: STRING          AND test(5.03):      should be  1:                                                                  
360 106:Token: 53: RIGHT_PAREN     )                                                                                                   
361 106:Token: 54: SEMI_COLON      ;                                                                                                   
362 107:Token: 35: ID              k                                                                                                   
363 107:Token: 40: ASSIGN          :=                                                                                                  
364 107:Token: 38: INT_NUM         4                                                                                                   
365 107:Token: 54: SEMI_COLON      ;                                                                                                   
366 108:Token: 35: ID              m                                                                                                   
367 108:Token: 40: ASSIGN          :=                                                                                                  
368 108:Token: 38: INT_NUM         71                                                                                                  
369 108:Token: 54: SEMI_COLON      ;                                                                                                   
370 109:Token: 12: IF              IF                                                                                                  
371 109:Token: 47: LEFT_PAREN      (                                                                                                   
372 109:Token: 35: ID              k                                                                                                   
373 109:Token: 58: LESS_THAN       <                                                                                                   
374 109:Token: 35: ID              m                                                                                                   
375 109:Token: 53: RIGHT_PAREN     )                                                                                                   
376 109:Token: 1 : AND             AND                                                                                                 
377 109:Token: 47: LEFT_PAREN      (                                                                                                   
378 109:Token: 47: LEFT_PAREN      (                                                                                                   
379 109:Token: 35: ID              k                                                                                                   
380 109:Token: 49: MULT            *                                                                                                   
381 109:Token: 35: ID              m                                                                                                   
382 109:Token: 53: RIGHT_PAREN     )                                                                                                   
383 109:Token: 57: GRTR_THAN_EQ    >=                                                                                                  
384 109:Token: 47: LEFT_PAREN      (                                                                                                   
385 109:Token: 35: ID              k                                                                                                   
386 109:Token: 49: MULT            *                                                                                                   
387 109:Token: 35: ID              m                                                                                                   
388 109:Token: 48: MINUS           -                                                                                                   
389 109:Token: 38: INT_NUM         1                                                                                                   
390 109:Token: 53: RIGHT_PAREN     )                                                                                                   
391 109:Token: 53: RIGHT_PAREN     )                                                                                                   
392 109:Token: 22: THEN            THEN                                                                                                
393 110:Token: 27: WRINT           WRINT                                                                                               
394 110:Token: 47: LEFT_PAREN      (                                                                                                   
395 110:Token: 38: INT_NUM         1                                                                                                   
396 110:Token: 53: RIGHT_PAREN     )                                                                                                   
397 110:Token: 54: SEMI_COLON      ;                                                                                                   
398 111:Token: 28: WRLN            WRLN                                                                                                
399 111:Token: 54: SEMI_COLON      ;                                                                                                   
400 112:Token: 8 : ELSE            ELSE                                                                                                
401 114:Token: 12: IF              IF                                                                                                  
402 114:Token: 35: ID              m                                                                                                   
403 114:Token: 59: LESS_THAN_EQ    <=                                                                                                  
404 114:Token: 38: INT_NUM         71                                                                                                  
405 114:Token: 22: THEN            THEN                                                                                                
406 115:Token: 27: WRINT           WRINT                                                                                               
407 115:Token: 47: LEFT_PAREN      (                                                                                                   
408 115:Token: 35: ID              m                                                                                                   
409 115:Token: 53: RIGHT_PAREN     )                                                                                                   
410 115:Token: 54: SEMI_COLON      ;                                                                                                   
411 116:Token: 28: WRLN            WRLN                                                                                                
412 116:Token: 54: SEMI_COLON      ;                                                                                                   
413 117:Token: 8 : ELSE            ELSE                                                                                                
414 118:Token: 27: WRINT           WRINT                                                                                               
415 118:Token: 47: LEFT_PAREN      (                                                                                                   
416 118:Token: 35: ID              m                                                                                                   
417 118:Token: 49: MULT            *                                                                                                   
418 118:Token: 38: INT_NUM         10000                                                                                               
419 118:Token: 53: RIGHT_PAREN     )                                                                                                   
420 118:Token: 54: SEMI_COLON      ;                                                                                                   
421 119:Token: 28: WRLN            WRLN                                                                                                
422 119:Token: 54: SEMI_COLON      ;                                                                                                   
423 120:Token: 9 : END             END                                                                                                 
424 120:Token: 54: SEMI_COLON      ;                                                                                                   
425 121:Token: 9 : END             END                                                                                                 
426 121:Token: 54: SEMI_COLON      ;                                                                                                   
427 123:Token: 34: WRSTR           WRSTR                                                                                               
428 123:Token: 47: LEFT_PAREN      (                                                                                                   
429 123:Token: 39: STRING          AND test(5.04):      should be  1:                                                                  
430 123:Token: 53: RIGHT_PAREN     )                                                                                                   
431 123:Token: 54: SEMI_COLON      ;                                                                                                   
432 124:Token: 35: ID              k                                                                                                   
433 124:Token: 40: ASSIGN          :=                                                                                                  
434 124:Token: 38: INT_NUM         4                                                                                                   
435 124:Token: 54: SEMI_COLON      ;                                                                                                   
436 125:Token: 35: ID              m                                                                                                   
437 125:Token: 40: ASSIGN          :=                                                                                                  
438 125:Token: 38: INT_NUM         71                                                                                                  
439 125:Token: 54: SEMI_COLON      ;                                                                                                   
440 126:Token: 12: IF              IF                                                                                                  
441 126:Token: 47: LEFT_PAREN      (                                                                                                   
442 126:Token: 35: ID              m                                                                                                   
443 126:Token: 56: GRTR_THAN       >                                                                                                   
444 126:Token: 35: ID              k                                                                                                   
445 126:Token: 53: RIGHT_PAREN     )                                                                                                   
446 126:Token: 1 : AND             AND                                                                                                 
447 126:Token: 47: LEFT_PAREN      (                                                                                                   
448 126:Token: 47: LEFT_PAREN      (                                                                                                   
449 126:Token: 35: ID              k                                                                                                   
450 126:Token: 49: MULT            *                                                                                                   
451 126:Token: 35: ID              m                                                                                                   
452 126:Token: 53: RIGHT_PAREN     )                                                                                                   
453 126:Token: 57: GRTR_THAN_EQ    >=                                                                                                  
454 126:Token: 47: LEFT_PAREN      (                                                                                                   
455 126:Token: 35: ID              k                                                                                                   
456 126:Token: 49: MULT            *                                                                                                   
457 126:Token: 35: ID              m                                                                                                   
458 126:Token: 48: MINUS           -                                                                                                   
459 126:Token: 38: INT_NUM         1                                                                                                   
460 126:Token: 53: RIGHT_PAREN     )                                                                                                   
461 126:Token: 53: RIGHT_PAREN     )                                                                                                   
462 126:Token: 22: THEN            THEN                                                                                                
463 127:Token: 27: WRINT           WRINT                                                                                               
464 127:Token: 47: LEFT_PAREN      (                                                                                                   
465 127:Token: 38: INT_NUM         1                                                                                                   
466 127:Token: 53: RIGHT_PAREN     )                                                                                                   
467 127:Token: 54: SEMI_COLON      ;                                                                                                   
468 128:Token: 28: WRLN            WRLN                                                                                                
469 128:Token: 54: SEMI_COLON      ;                                                                                                   
470 129:Token: 8 : ELSE            ELSE                                                                                                
471 131:Token: 12: IF              IF                                                                                                  
472 131:Token: 47: LEFT_PAREN      (                                                                                                   
473 131:Token: 35: ID              m                                                                                                   
474 131:Token: 59: LESS_THAN_EQ    <=                                                                                                  
475 131:Token: 38: INT_NUM         71                                                                                                  
476 131:Token: 53: RIGHT_PAREN     )                                                                                                   
477 131:Token: 22: THEN            THEN                                                                                                
478 132:Token: 27: WRINT           WRINT                                                                                               
479 132:Token: 47: LEFT_PAREN      (                                                                                                   
480 132:Token: 35: ID              m                                                                                                   
481 132:Token: 53: RIGHT_PAREN     )                                                                                                   
482 132:Token: 54: SEMI_COLON      ;                                                                                                   
483 133:Token: 28: WRLN            WRLN                                                                                                
484 133:Token: 54: SEMI_COLON      ;                                                                                                   
485 134:Token: 8 : ELSE            ELSE                                                                                                
486 135:Token: 27: WRINT           WRINT                                                                                               
487 135:Token: 47: LEFT_PAREN      (                                                                                                   
488 135:Token: 35: ID              m                                                                                                   
489 135:Token: 49: MULT            *                                                                                                   
490 135:Token: 38: INT_NUM         10000                                                                                               
491 135:Token: 53: RIGHT_PAREN     )                                                                                                   
492 135:Token: 54: SEMI_COLON      ;                                                                                                   
493 136:Token: 28: WRLN            WRLN                                                                                                
494 136:Token: 54: SEMI_COLON      ;                                                                                                   
495 137:Token: 9 : END             END                                                                                                 
496 137:Token: 54: SEMI_COLON      ;                                                                                                   
497 138:Token: 9 : END             END                                                                                                 
498 138:Token: 54: SEMI_COLON      ;                                                                                                   
499 140:Token: 34: WRSTR           WRSTR                                                                                               
500 140:Token: 47: LEFT_PAREN      (                                                                                                   
501 140:Token: 39: STRING          OR test(5.05):       should be  1:                                                                  
502 140:Token: 53: RIGHT_PAREN     )                                                                                                   
503 140:Token: 54: SEMI_COLON      ;                                                                                                   
504 141:Token: 35: ID              k                                                                                                   
505 141:Token: 40: ASSIGN          :=                                                                                                  
506 141:Token: 38: INT_NUM         4                                                                                                   
507 141:Token: 54: SEMI_COLON      ;                                                                                                   
508 142:Token: 35: ID              m                                                                                                   
509 142:Token: 40: ASSIGN          :=                                                                                                  
510 142:Token: 38: INT_NUM         71                                                                                                  
511 142:Token: 54: SEMI_COLON      ;                                                                                                   
512 143:Token: 12: IF              IF                                                                                                  
513 143:Token: 47: LEFT_PAREN      (                                                                                                   
